block,bin,mining_area,pit_name,bench_rl,tonnes_wt,pot_ore_wt,pot_ore_dt,hg_l_wt,hg_l_dt,hg_l_fe,hg_f_wt,hg_f_dt,hg_f_fe,lg_l_wt,lg_l_dt,lg_l_fe,lg_f_wt,lg_f_dt,lg_f_fe
64,59,Tata,msp1s1,1220,0.015918422,0.015918422,0.015122501,0.005896667,0.005631317,63.06456092,0.010260739,0.009491184,60.42358074,0.005519884,0.005188691,63.71209734,0.007331096,0.006451364,88.89457854
65,60,Tata,msp1s1,1220,0.0251707,0.0251707,0.023408751,0.009224286,0.008716951,58.74781233,0.016234034,0.014691801,53.41929686,0.008004501,0.007524231,61.15013021,0.010027014,0.008823772,88.94446042
66,61,Tata,msp1s1,1220,0.025451614,0.025451614,0.023670001,0.009327233,0.008814235,60.09851892,0.016415211,0.014855766,55.61093256,0.008263679,0.007767858,61.95118674,0.010558137,0.00929116,88.91709745
67,64,Tata,msp1s1,1220,0.03811828,0.03811828,0.03545,0.013969176,0.013200871,59.55444397,0.024584674,0.02224913,54.72812324,0.012273674,0.011537254,61.6280571,0.015559989,0.013692791,88.92658559
68,10,Tata,msp1s2,1210,0.812263456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,30,Tata,msp1s2,1210,0.018674732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,52,Tata,msp1s2,1210,0.036335528,0.036335528,0.034518752,0.013459783,0.012854093,62.77495881,0.023421253,0.021664659,59.95367612,0.012545901,0.011793147,63.54018204,0.016603847,0.014611385,88.89478375
71,54,Tata,msp1s2,1210,0.006303764,0.006303764,0.0058625,0.002310135,0.002183078,58.65420382,0.00406566,0.003679423,53.26740873,0.002001737,0.001881632,61.09344276,0.002503974,0.002203497,88.94646124
72,56,Tata,msp1s2,1210,0.041358874,0.041358874,0.038463753,0.015156754,0.014323132,57.94868097,0.026674719,0.024140621,52.12264254,0.0129898,0.012210412,60.67453916,0.016071945,0.014143311,88.96593733
73,57,Tata,msp1s2,1210,0.056060531,0.056060531,0.053257504,0.020766523,0.01983203,62.24033231,0.036135648,0.033425475,59.08620107,0.019203439,0.018051233,63.2227085,0.0252463,0.022216744,88.89620985
74,58,Tata,msp1s2,1210,0.002941447,0.002941447,0.002794375,0.001043119,0.000996178,61.7606018,0.001943997,0.001798197,60.50367001,0.00095722,0.000899787,62.74025524,0.001208327,0.001063327,102.3179677
75,60,Tata,msp1s2,1210,0.158569898,0.158569898,0.147470005,0.058110983,0.054914879,58.83080629,0.102270857,0.092555125,53.55396228,0.050491551,0.047462058,61.19989585,0.063328561,0.055729134,88.94259323
76,61,Tata,msp1s2,1210,0.052420029,0.052420029,0.048750627,0.019210326,0.018153758,60.08741901,0.033808695,0.030596869,55.59291998,0.017016976,0.015995957,61.94501727,0.021738375,0.01912977,88.91739339
77,63,Tata,msp1s2,1210,0.027042339,0.027042339,0.025149376,0.009910185,0.009365124,61.59391002,0.017441162,0.015784251,58.03732783,0.008981085,0.00844222,62.83919614,0.011709739,0.01030457,88.89995105
78,64,Tata,msp1s2,1210,0.165110896,0.165110896,0.153553134,0.060508059,0.057180116,59.52142041,0.106489522,0.096373018,54.67454407,0.05313701,0.049948789,61.60867852,0.067332216,0.05925235,88.92728859
79,10,Tata,msp1s2,1200,0.882074875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,30,Tata,msp1s2,1200,0.004594758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,51,Tata,msp1s2,1200,0.006297775,0.006297775,0.006014375,0.002388299,0.00231665,58.65884443,0.003912937,0.003697725,56.60468087,0.001721877,0.001653002,62.03976224,0.002273231,0.002045907,102.3059788
